instrument,n_pairs,n_obs_total,mean_impact,sum_impact,positive_frac_mean,positive_frac_std,abs_mean_impact,weight_variant_a,reliability,weight_variant_b
aircraft,60,701,-7.011522389551595e-07,-20.522696336498456,0.46574328950846755,0.03676123189334219,7.011522389551595e-07,0.1542011749479073,0.2854302327052331,0.15143625537610256
amsua,59,686,1.8330929166311426e-08,2.979378897246622,0.39869221632230384,0.014020352447996612,1.8330929166311426e-08,0.093871945243297,0.36157105071138296,0.09390262501119304
ascat,59,686,-2.3043993372853245e-08,-1.8086556712587167,0.39435638335286355,0.016412685870567024,2.3043993372853245e-08,0.093871945243297,0.3668041903854235,0.09390262501119304
atms,59,689,9.609503009134764e-10,1.5751885138831652,0.4034890660094246,0.012710122250045053,9.609503009134764e-10,0.093871945243297,0.35582529437030863,0.09390262501119304
avhrr,60,692,-4.996186833008648e-10,-0.6550076371153836,0.3511636964976787,0.02393505585372776,4.996186833008648e-10,0.093871945243297,0.4209885487425563,0.09390262501119304
radiosonde,60,701,-3.7130913713582394e-05,-328.7189919054508,0.4604134286903961,0.029425973927612932,3.7130913713582394e-05,8.166030433071096,0.29115366793765435,8.180417469075403
seviri_asr,59,689,-3.1282464723793123e-09,-0.6221149103035379,0.3691686979226,0.027608104527185262,3.1282464723793123e-09,0.093871945243297,0.3979481316806679,0.09390262501119304
ssmis,59,623,7.266785818759781e-09,4.789935661739718,0.4151513144541322,0.025663731229018133,7.266785818759781e-09,0.093871945243297,0.3420479849847293,0.09390262501119304
surface_obs,60,701,5.298920876675903e-07,18.048910596989998,0.4889255837243736,0.03511668555508639,5.298920876675903e-07,0.11653672052121548,0.26119705897147233,0.10473052548133795
