instrument,n_pairs,n_obs_total,mean_impact,sum_impact,positive_frac_mean,positive_frac_std,abs_mean_impact,weight_variant_a,reliability,weight_variant_b
aircraft,60,14932,-6.557388604089051e-07,-411.55124232630243,0.4701524477379627,0.04771644949135069,6.557388604089051e-07,0.15273839927510435,0.2807384286380723,0.14622155147339155
amsua,59,14656,1.698570458626847e-08,59.782170742628345,0.2725237999907003,0.03960322828427181,1.698570458626847e-08,0.09387058941822991,0.5292216215799707,0.0939707656531462
ascat,59,14656,-2.0355308326070364e-08,-34.18323135009275,0.2693588961226922,0.04052153129985383,2.0355308326070364e-08,0.09387058941822991,0.5338364226750508,0.0939707656531462
atms,59,14720,1.1620918879029445e-09,38.93326630467549,0.2738481035481369,0.03902978235172133,1.1620918879029445e-09,0.09387058941822991,0.5272965767206375,0.0939707656531462
avhrr,60,14764,-3.8124756049831153e-10,-10.152654164624426,0.23901183992711394,0.0473904446083127,3.8124756049831153e-10,0.09387058941822991,0.5791029797711165,0.0939707656531462
radiosonde,60,14932,-3.511057094649059e-05,-6611.828052797471,0.4584599790843992,0.046157274126797244,3.511057094649059e-05,8.178152505187613,0.29326559425326926,8.178574382682632
seviri_asr,59,14720,-3.307425800536041e-09,-14.018139552162596,0.21309191635885757,0.0476367587967059,3.307425800536041e-09,0.09387058941822991,0.6192243320997751,0.0939707656531462
ssmis,59,13312,7.508992136319122e-09,105.94398244802693,0.27516115950493253,0.04786147845866644,7.508992136319122e-09,0.09387058941822991,0.5253913446902337,0.0939707656531462
surface_obs,60,14932,4.5458952130078495e-07,328.9539714254641,0.44460295306042563,0.047681177333170545,4.5458952130078495e-07,0.10588555902790434,0.30846587974919976,0.11137947192510157
