instrument,instrument_id,n_observations,n_channels,mean_impact,sum_impact,positive_frac,innovation_mean,innovation_std,innovation_abs_mean,innovation_rms,gradient_mean,gradient_abs_mean,gradient_rms,projection_mean,alignment_cosine,alignment_frac,target_variable,target_channel,p_idx,p_hpa,pair_idx,prev_bin,curr_bin,lead_step,ea,eb
aircraft,6,14550,4,8.589027515881753e-07,0.04998813942074776,0.03010309301316738,-0.04024752229452133,0.726263165473938,0.49062973260879517,0.7273774743080139,-2.966069405374583e-05,5.7129698689095676e-05,0.0008281001355499029,8.589027515881753e-07,0.0014259415911510587,0.03010309301316738,u_wind,2,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
atms,2,50000,22,-3.750010819203453e-06,-4.125011920928955,0.003389999968931079,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,-1.6151521776919253e-05,5.944621079834178e-05,0.0017510424368083477,-3.750010819203453e-06,-0.0017031506868079305,0.003389999968931079,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
amsua,0,30000,15,-7.461206405423582e-05,-33.5754280090332,0.0044311112724244595,0.10308036208152771,1.3152543306350708,1.0490690469741821,1.3192874193191528,-1.145955320680514e-05,0.00019758797134272754,0.005323441699147224,-7.461206405423582e-05,-0.010623765178024769,0.0044311112724244595,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ssmis,5,30000,24,4.104389063286362e-06,2.955160140991211,0.0038458332419395447,0.0031434623524546623,1.4766324758529663,1.14431631565094,1.4766359329223633,-2.3503304191763164e-07,0.0001754452387103811,0.0053641777485609055,4.104389063286362e-06,0.0005181742599233985,0.0038458332419395447,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
seviri,4,30000,16,6.7430037233862095e-06,3.2366418838500977,0.0036812499165534973,-0.29585352540016174,0.5085338950157166,0.39534398913383484,0.5883333086967468,1.1054099559260067e-05,0.00013008668611291796,0.004498891066759825,6.7430037233862095e-06,0.002547567943111062,0.0036812499165534973,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
avhrr,3,30000,3,-8.051185318436183e-07,-0.07246066629886627,0.0011888889130204916,0.3950219750404358,1.1617968082427979,0.9408338665962219,1.2271161079406738,-8.049304369706078e-07,1.7488373487140052e-06,8.458506636088714e-05,-8.051185318436183e-07,-0.0077567617408931255,0.0011888889130204916,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ascat,1,18663,3,-3.246150663471781e-05,-1.817487359046936,0.003875761292874813,1.387545108795166,0.8487812280654907,1.4297733306884766,1.6265642642974854,6.553361345140729e-06,0.0002402962272753939,0.006235124077647924,-3.246150663471781e-05,-0.0032007554545998573,0.003875761292874813,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
surface_obs,8,9481,5,0.0007230101618915796,34.274295806884766,0.03856133297085762,0.500102698802948,0.9704880118370056,0.8246627449989319,1.0917645692825317,0.0007565478445030749,0.002403500024229288,0.03310847654938698,0.0007230101618915796,0.020002130419015884,0.03856133297085762,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
radiosonde,7,2710,4,-0.001257514115422964,-13.631452560424805,0.07398524135351181,1.1464874744415283,1.003101110458374,1.2739617824554443,1.5233663320541382,-0.000931236834730953,0.0033975928090512753,0.027534041553735733,-0.001257514115422964,-0.029980476945638657,0.07398524135351181,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
aircraft,6,14550,4,7.496917078242404e-06,0.43632057309150696,0.04293814301490784,-0.04024752229452133,0.726263165473938,0.49062973260879517,0.7273774743080139,1.3249662060843548e-06,0.00014226752682588995,0.002273688092827797,7.496917078242404e-06,0.0045330701395869255,0.04293814301490784,v_wind,3,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
atms,2,50000,22,-5.2985415095463395e-05,-58.28395462036133,0.005377272609621286,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,1.7931117326952517e-05,0.0002587396011222154,0.006582438014447689,-5.2985415095463395e-05,-0.006401575170457363,0.005377272609621286,temperature,0,2,850.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
