instrument,n_pairs,n_obs_total,mean_impact,sum_impact,positive_frac_mean,positive_frac_std,abs_mean_impact,weight_variant_a,reliability,weight_variant_b
aircraft,184,31204,-1.112168201468124e-06,-1494.0700094045876,0.46104903057453095,0.03687019336655787,1.112168201468124e-06,2.5660434270086268,0.2904681474446529,2.442793346963371
amsua,183,30912,3.532040553065334e-08,212.07554342126622,0.27181950558095547,0.03731021607928128,3.532040553065334e-08,0.09657100255350372,0.5302468324523641,0.14161899365228173
ascat,183,30912,2.1033493889758604e-09,8.249072320606968,0.27044830596562297,0.04220444725350339,2.1033493889758604e-09,0.09657100255350372,0.5322456742684293,0.09761250862910599
atms,183,30976,1.686565318465793e-08,1304.1200737930762,0.2753583285668942,0.037838583518353806,1.686565318465793e-08,0.09657100255350372,0.5251055519773654,0.09761250862910599
avhrr,183,30976,2.1523189178519087e-09,138.5659281456271,0.25156848480570965,0.050198276155435935,2.1523189178519087e-09,0.09657100255350372,0.5601497329360213,0.09761250862910599
radiosonde,184,31204,-2.3761632913693976e-06,-987.7330883235151,0.4482684488587539,0.03626387999192664,2.3761632913693976e-06,5.482388533738692,0.30440770452472554,5.469525637148861
seviri_asr,183,30720,3.8595489626669514e-08,339.72390611735347,0.21219742596804278,0.04779968412762889,3.8595489626669514e-08,0.09657100255350372,0.6206328956513774,0.1811294571733435
ssmis,182,28352,-2.2339291134136537e-08,-597.6510627739982,0.2659271626062344,0.04628791372111407,2.2339291134136537e-08,0.09657100255350372,0.5388629305993339,0.09761250862910599
surface_obs,183,31092,1.6129287645348475e-07,242.07178425363946,0.44588575122457286,0.03359025696358759,1.6129287645348475e-07,0.37214202393165746,0.30704260069595596,0.37448253054571884
